Fichier                        | WER (%)
ESLO2_ENT_1272_romain-rolland_model.txt |   35.91
ESLO2_ENT_1329_demolition_model.txt |   63.36
ESLO2_ENT_1329_manouche_model.txt |   51.12
ESLO2_ENT_1329_police_model.txt |   62.13
ESLO2_INTPERS_1245_avion_model.txt |   43.56
ESLO2_INTPERS_1245_populisme_model.txt |   50.06
ESLO2_ITI_1157_egoiste_model.txt |   33.51
ESLO2_REPAS_1260_raphael-nadal_model.txt |   61.32
ESLO2_REPAS_1263_strass_model.txt |   44.51
ESLO2_REPAS_1263_telephone_model.txt |   44.44
ESLO2_REPAS_1265_star-wars_model.txt |   66.67
ESLO2_REPAS_1265_vigile_model.txt |   63.66
ESLO2_REPAS_1270_cabinet_model.txt |   48.72
ESLO2_REPAS_1270_twitter_model.txt |   58.83
ESLO2_REPAS_1330_imagination_model.txt |   50.42
----------------------------------------
Average WER                    |   49.02
