Fichier                        | WER (%)
RIOE8_model.txt                |   37.79
RIOE9_model.txt                |   36.26
RIOP1_model.txt                |   30.86
RIOP2_model.txt                |   24.34
RIOP3_model.txt                |   28.44
RIOP4_model.txt                |   21.74
ROMP1_model.txt                |   15.53
ROMP3_model.txt                |   19.40
ROMP4_model.txt                |   21.46
ROMP5_model.txt                |   21.33
----------------------------------------
Average WER                    |   27.55
