Fichier                        | WER (%)
RIOE8_model.txt                |   38.08
RIOE9_model.txt                |   42.65
RIOP1_model.txt                |   35.16
RIOP2_model.txt                |   26.99
RIOP3_model.txt                |   26.61
RIOP4_model.txt                |   21.74
ROMP1_model.txt                |   15.07
ROMP3_model.txt                |   20.74
ROMP4_model.txt                |   23.74
ROMP5_model.txt                |   23.33
----------------------------------------
Average WER                    |   28.89
