Fichier                        | WER (%)
ESLO2_ENT_1026_pompier_model.txt |   36.14
ESLO2_ENT_1026_techno_model.txt |   36.64
ESLO2_ENT_1029_moby-dick_model.txt |   37.62
ESLO2_ENT_1029_petit-cinema_model.txt |   30.15
ESLO2_ENT_1029_realite-ouvriere_model.txt |   37.33
ESLO2_ENT_1038_guitare_model.txt |   34.32
ESLO2_ENT_1038_moog_model.txt  |   29.01
ESLO2_ENT_1038_vendeuse_model.txt |   32.09
ESLO2_ENT_1041_ahmed_model.txt |   41.14
ESLO2_ENT_1041_archeologue_model.txt |   41.68
ESLO2_ENT_1041_barbecue_model.txt |   42.45
ESLO2_ENT_1041_city-reporter_model.txt |   44.10
ESLO2_ENT_1041_survet_model.txt |   52.21
ESLO2_ENT_1047_gardels_model.txt |   37.10
ESLO2_ENT_1050_planet-anniv_model.txt |   41.23
ESLO2_ENT_1051_plaisir_model.txt |   35.71
ESLO2_ENT_1054_parfum_model.txt |   61.30
ESLO2_ENT_1068_maternelle_model.txt |   51.73
ESLO2_ENT_1069_club-alpin_model.txt |   58.23
ESLO2_ENT_1084_parcours-residentiel_model.txt |   43.28
ESLO2_ENT_1085_Pyramide_model.txt |   53.13
ESLO2_ENT_1085_marque-page_model.txt |   53.82
ESLO2_ENT_1272_kabyle_model.txt |   40.78
ESLO2_ENT_1272_romain-rolland_model.txt |   35.66
ESLO2_ENT_1329_demolition_model.txt |   57.60
ESLO2_ENT_1329_manouche_model.txt |   84.27
ESLO2_ENT_1329_police_model.txt |   60.29
ESLO2_INTPERS_1245_avion_model.txt |   40.34
ESLO2_INTPERS_1245_populisme_model.txt |   48.03
ESLO2_ITI_1157_egoiste_model.txt |   30.85
ESLO2_REPAS_1260_raphael-nadal_model.txt |   47.80
ESLO2_REPAS_1263_strass_model.txt |   45.66
ESLO2_REPAS_1263_telephone_model.txt |   40.48
ESLO2_REPAS_1265_star-wars_model.txt |   46.86
ESLO2_REPAS_1265_vigile_model.txt |   48.32
ESLO2_REPAS_1270_cabinet_model.txt |   47.45
ESLO2_REPAS_1270_twitter_model.txt |   47.93
ESLO2_REPAS_1330_imagination_model.txt |   43.63
----------------------------------------
Average WER                    |   74.13
